ID,Week,Show Name,Theatre,Gross,Potential Gross,Gross Diff,Avg Ticket Price,Top Ticket Price,Seats Sold,Seats in the Theatre,Performances,Previews,Capacity,Capacity Diff,Month,Season
20190001,01/06/19,Aladdin,New Amsterdam Theatre,1634003,1711079,-950546,120.01,227.5,13616,1727,8,0,0.99,-0.01,1,Winter
20190002,01/06/19,American Son,Booth Theatre,563571.95,888864,-143420.25,103.52,248,5444,774,8,0,0.88,-0.07,1,Winter
20190003,01/06/19,Anastasia,Broadhurst Theatre,785201.1,962806,-554576.1,107.12,273,7330,1143,7,0,0.92,-0.07,1,Winter
20190004,01/06/19,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,623691.2,1106908,-395200,86.47,247,7213,1026,8,0,0.88,-0.07,1,Winter
20190005,01/06/19,Chicago,Ambassador Theatre,695186.36,967724,-552090.61,100.9,238,6890,1080,8,0,0.8,-0.2,1,Winter
20190006,01/06/19,Choir Boy,Samuel J. Friedman Theatre,239473.5,628152,-19280,49.09,199,4878,637,0,8,0.96,0.09,1,Winter
20190007,01/06/19,Come From Away,Gerald Schoenfeld Theatre,1057354.9,1154784,-617921.6,123.77,297,8543,1046,8,0,1.02,0,1,Winter
20190008,01/06/19,Dear Evan Hansen,Music Box Theatre,1455251.9,1352224,-477220.1,181.95,448,7998,984,8,0,1.02,0,1,Winter
20190009,01/06/19,Frozen,St. James Theatre,1675853.5,1501264,-948641.5,125.22,349.5,13383,1684,8,0,0.99,0,1,Winter
20190010,01/06/19,Hamilton,Richard Rodgers Theatre,3344261,2954373,-697232,310.89,849,10757,1321,8,0,1.02,0,1,Winter
20190011,01/06/19,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,2251788,1988464,-274062,173.53,296.5,12976,1622,8,0,1,0,1,Winter
20190012,01/06/19,Head Over Heels,Hudson Theatre,342866.5,883552,-40333.5,58.03,258,5908,963,7,0,0.88,0.14,1,Winter
20190013,01/06/19,King Kong,Broadway Theatre,799952.08,1407714,-1047829.94,99.99,397,8000,1738,7,0,0.66,-0.29,1,Winter
20190014,01/06/19,Kinky Boots,Al Hirschfeld Theatre,760266.75,1294256,-572118.2,94.44,249,8050,1424,8,0,0.71,-0.2,1,Winter
20190015,01/06/19,Mean Girls,August Wilson Theatre,1444083.75,1328576,-550302.25,146.68,324.5,9845,1225,8,0,1,-0.01,1,Winter
20190016,01/06/19,Mike Birbiglia's The New One,Cort Theatre,353461.5,972304,-110599.5,68.73,223,5143,1073,8,0,0.6,-0.06,1,Winter
20190017,01/06/19,My Fair Lady,Vivian Beaumont Theater,1038006,1396120,-511401,131.73,323,7880,1069,8,0,0.92,-0.07,1,Winter
20190018,01/06/19,Network,Belasco Theatre,1196999.76,1089780,-170013.08,148.53,473,8059,1015,8,0,0.99,-0.02,1,Winter
20190019,01/06/19,Once On This Island,Circle in the Square Theatre,727235.5,792176,-30574.2,125.86,249.5,5778,696,8,0,1.04,0.01,1,Winter
20190020,01/06/19,Pretty Woman: The Musical,Nederlander Theatre,940504.2,1365328,-326205,115.23,275,8162,1168,8,0,0.87,-0.08,1,Winter
20190021,01/06/19,School of Rock - The Musical,Winter Garden Theatre,1057603.6,1443688,-699491.9,94.02,273,11249,1523,8,0,0.92,-0.09,1,Winter
20190022,01/06/19,The Band's Visit,Ethel Barrymore Theatre,534785,900177,-511075.3,90.26,297,5925,1039,7,0,0.81,-0.14,1,Winter
20190023,01/06/19,The Book of Mormon,Eugene O'Neill Theatre,1232861,1190502,-693468,141.85,477.5,8691,1047,8,0,1.04,-0.01,1,Winter
